Length Cht Slope R Lh NEAR_DIST 
30.00000 -0.02160 0.18800 5.44000 29.40000 145.37925 
28.00000 -0.06830 0.22400 5.19000 23.40000 199.56780 
30.00000 -0.04040 0.20300 3.53000 16.90000 204.50465 
15.58000 -0.05620 0.19600 6.76000 35.20000 208.39677 
14.42000 -0.08820 0.26800 5.27000 20.60000 246.42504 
30.00000 -0.05980 0.34500 5.76000 16.50000 249.73112 
30.00000 -0.03250 0.28300 9.69000 35.70000 253.91631 
23.12000 -0.09010 0.32400 6.10000 18.70000 254.51830 
30.00000 -0.10800 0.35100 7.86000 23.10000 278.92495 
22.96000 -0.15200 0.37900 7.04000 18.20000 314.37835 
18.96000 -0.07690 0.33700 7.46000 21.70000 313.31104 
30.00000 -0.02450 0.31200 11.30000 35.80000 311.68379 
10.74000 -0.06670 0.24300 5.61000 23.80000 313.61522 
19.26000 -0.08960 0.28300 6.19000 22.10000 391.19229 
30.00000 -0.14000 0.37100 5.78000 15.30000 390.94393 
30.00000 -0.09960 0.33800 7.19000 21.70000 394.98793 
23.36000 -0.10000 0.40200 7.71000 19.00000 364.58902 
30.00000 -0.04700 0.38200 9.99000 25.80000 369.17479 
16.84000 -0.07390 0.38300 8.10000 21.40000 375.24798 
13.16000 -0.04960 0.27900 5.43000 19.00000 345.19912 
30.00000 -0.04210 0.16100 4.91000 31.00000 341.82584 
27.81000 -0.05830 0.25900 5.64000 22.10000 450.66891 
30.00000 -0.04090 0.32800 9.16000 27.80000 453.18620 
26.99000 -0.09580 0.35700 7.24000 20.20000 457.46564 
30.00000 -0.09970 0.27300 6.10000 22.50000 425.97743 
30.00000 -0.03200 0.28700 8.28000 28.60000 424.47018 
25.51000 -0.04250 0.25900 13.20000 52.10000 478.83901 
30.00000 -0.05120 0.18500 6.48000 35.30000 471.86070 
21.11000 -0.05530 0.26100 5.28000 20.00000 569.11541 
30.00000 -0.07320 0.31000 9.93000 32.80000 566.33964 
30.00000 -0.04890 0.33900 14.00000 43.40000 566.01118 
30.00000 -0.07140 0.37400 13.90000 36.70000 566.46248 
15.69000 -0.04670 0.23600 3.56000 14.70000 569.61917 
14.31000 -0.05790 0.30000 4.94000 16.40000 594.23513 
30.00000 -0.03920 0.34600 8.99000 26.10000 593.42242 
30.00000 -0.03950 0.35700 12.30000 34.10000 593.38159 
22.69000 -0.03430 0.21200 12.90000 60.70000 593.56126 
30.00000 -0.01740 0.22400 10.20000 45.20000 633.80733 
24.59000 -0.04650 0.28700 7.64000 27.00000 633.92908 
30.00000 -0.06250 0.29400 10.30000 38.80000 640.46184 
26.49000 -0.03970 0.37600 12.40000 32.60000 635.39626 
28.99000 -0.02820 0.28000 14.30000 53.00000 637.87915 
30.00000 -0.04400 0.27200 16.10000 60.00000 683.88834 
30.00000 -0.06970 0.20500 4.81000 23.40000 682.44675 
22.81000 -0.08560 0.30100 6.61000 22.00000 794.35649 
30.00000 -0.07260 0.24600 7.63000 33.80000 803.82592 
23.61000 -0.09810 0.30700 11.80000 40.30000 776.86060 
30.00000 -0.15300 0.47800 10.30000 21.30000 781.00952 
30.00000 -0.05250 0.19900 6.52000 35.80000 789.26045 
27.21000 -0.05480 0.28700 10.10000 37.20000 836.85256 
30.00000 -0.11200 0.37400 11.20000 30.60000 836.62355 
30.00000 -0.06590 0.42900 12.60000 29.10000 832.92597 
30.00000 -0.11300 0.51400 12.90000 25.40000 826.18216 
30.00000 -0.07010 0.45100 13.40000 29.50000 822.85981 
13.09000 -0.02040 0.46900 21.80000 46.10000 819.27091 
16.91000 -0.08090 0.56100 14.00000 25.10000 809.10675 
30.00000 -0.04080 0.55400 15.20000 27.40000 787.78244 
26.21000 -0.07550 0.55100 14.30000 25.90000 828.00948 
15.45000 0.00000 0.00000 0.00000 0.00000 826.43205 
14.55000 -0.08370 0.51000 16.00000 32.00000 884.16488 
30.00000 -0.14800 0.62200 15.40000 24.40000 888.97973 
11.45000 -0.11900 0.59200 13.70000 24.10000 890.79034 
18.55000 -0.18000 0.64500 14.90000 23.30000 933.24093 
20.75000 -0.13600 0.55400 16.90000 33.40000 933.39924 
30.00000 -0.19800 0.67300 18.00000 26.50000 1030.56052 
30.00000 -0.22100 0.67300 15.30000 22.50000 1034.10254 
30.00000 -0.16200 0.64400 13.80000 21.40000 1038.54810 
30.00000 -0.08650 0.51500 18.50000 36.20000 1039.98698 
25.75000 -0.10600 0.57200 18.00000 31.20000 977.85808 
30.00000 -0.09780 0.58700 18.60000 31.70000 986.90683 
30.00000 -0.16100 0.49900 7.65000 15.40000 994.63903 
24.25000 -0.10400 0.57600 10.90000 18.50000 1071.28542 
22.05000 -0.13800 0.42400 11.40000 29.60000 1074.14410 
30.00000 -0.17700 0.60000 7.25000 11.80000 1117.05239 
19.05000 -0.10100 0.61400 15.90000 25.80000 1118.49257 
10.95000 -0.16400 0.58000 12.10000 20.30000 1078.33568 
24.05000 -0.16400 0.42100 10.50000 27.40000 1080.98777 
30.00000 -0.34600 0.66300 8.92000 13.10000 1160.08617 
25.75000 -0.27300 0.65900 7.52000 11.00000 1119.11154 
14.25000 -0.14300 0.54100 15.40000 28.20000 1127.63365 
15.75000 -0.16400 0.60300 16.70000 27.70000 1092.26039 
30.00000 -0.07110 0.58400 17.60000 30.00000 1100.92763 
30.00000 -0.01540 0.50400 22.30000 44.10000 1114.68136 
30.00000 -0.03740 0.43500 24.70000 57.00000 1125.63672 
30.00000 -0.04450 0.48900 17.90000 36.00000 1135.73408 
30.00000 -0.11500 0.55600 20.70000 37.70000 1145.70545 
21.85000 -0.15700 0.62900 20.00000 31.30000 1159.55100 
30.00000 -0.12800 0.62200 18.10000 28.90000 1166.39198 
30.00000 -0.12600 0.66700 14.60000 21.70000 1179.31128 
30.00000 -0.25800 0.58200 16.20000 31.20000 1184.12004 
23.55000 -0.13900 0.59800 11.50000 18.70000 1205.14071 
20.05000 -0.13900 0.58000 9.63000 16.20000 1135.71598 
14.45000 -0.14800 0.50400 20.80000 48.40000 1141.70713 
15.55000 -0.17700 0.62000 13.90000 22.20000 1272.42032 
30.00000 -0.23300 0.57300 10.30000 17.70000 1274.86662 
26.25000 -0.20600 0.69100 22.40000 32.00000 1308.07191 
24.25000 -0.18000 0.67200 19.40000 28.80000 1231.77731 
30.00000 -0.09050 0.63600 17.00000 26.60000 1235.78887 
30.00000 -0.10800 0.63000 16.30000 25.90000 1243.16886 
30.00000 -0.12200 0.55500 17.00000 30.60000 1257.53763 
21.85000 -0.22900 0.60900 17.40000 29.20000 1370.51947 
30.00000 -0.34400 0.68200 12.60000 18.20000 1369.75514 
30.00000 -0.27100 0.61700 8.81000 13.60000 1367.11300 
27.65000 -0.07080 0.57200 16.30000 28.30000 1369.71487 
30.00000 -0.08990 0.64600 15.80000 24.00000 1200.76173 
10.15000 -0.31300 0.58000 14.90000 25.60000 1195.49574 
19.85000 -0.24900 0.59000 12.30000 20.60000 1432.56906 
30.00000 -0.27300 0.60400 12.70000 20.90000 1434.86828 
27.65000 -0.33100 0.69800 12.40000 17.40000 1478.94436 
30.00000 -0.35000 0.64900 11.40000 16.70000 1476.96515 
30.00000 -0.07140 0.52700 22.00000 40.70000 1476.80078 
29.15000 -0.05860 0.60600 20.70000 34.10000 1305.82220 
30.00000 -0.15100 0.61800 20.70000 33.30000 1305.30463 
30.00000 -0.17400 0.66500 23.30000 35.10000 1293.60740 
30.00000 -0.18600 0.62700 21.20000 34.10000 1287.68110 
25.85000 -0.22900 0.65600 21.70000 33.00000 1287.71362 
30.00000 -0.27500 0.64300 15.00000 23.30000 1441.31833 
23.65000 -0.42100 0.68700 14.60000 21.10000 1460.59674 
30.00000 -0.38400 0.71100 13.90000 19.50000 1558.62105 
30.00000 -0.30300 0.68500 14.60000 21.00000 1568.23079 
30.00000 -0.24700 0.69200 18.60000 26.40000 1574.82285 
30.00000 -0.22200 0.70400 21.30000 29.90000 1589.48369 
30.00000 -0.21000 0.68500 22.30000 32.30000 1608.33011 
30.00000 -0.14200 0.69300 21.20000 30.50000 1620.39630 
30.00000 -0.14500 0.69900 22.00000 31.30000 1621.42988 
30.00000 -0.17700 0.48000 10.90000 23.40000 1621.61528 
27.60000 -0.15900 0.52200 12.10000 23.20000 1612.95111 
30.00000 -0.35500 0.66800 15.80000 23.40000 1611.82435 
27.40000 -0.24900 0.64000 17.70000 27.50000 1611.80710 
25.70000 -0.18600 0.58900 14.50000 24.40000 1617.53086 
30.00000 -0.09410 0.53700 13.10000 24.00000 1660.60442 
26.00000 -0.16000 0.64400 18.70000 28.60000 1437.37657 
30.00000 -0.19000 0.65600 21.80000 32.80000 1428.96873 
30.00000 -0.22800 0.65800 18.60000 27.50000 1416.63109 
30.00000 -0.21700 0.66100 11.30000 16.60000 1398.60571 
21.57000 -0.27800 0.68100 15.40000 22.30000 1384.04330 
27.97000 -0.18500 0.48500 12.10000 24.40000 1544.67401 
30.00000 -0.34500 0.69800 19.20000 26.40000 1691.40520 
26.53000 -0.21500 0.65300 17.70000 25.40000 1671.54310 
11.27000 -0.04950 0.41000 22.70000 55.40000 1671.74086 
18.73000 -0.29500 0.63400 15.20000 23.90000 1771.16569 
30.00000 -0.25400 0.59500 15.60000 26.50000 1774.05193 
