Distance_m	Uplift_mm_yr
46.14749	0
56.1243	0
66.10812	0
76.09619	0
86.08703	0
96.07978	0.00274
106.07389	0.02075
116.06902	0.0455
126.06492	0.0718
136.06142	0.0987
146.0584	0.1274
156.05577	0.1564
166.05345	0.18448
176.0514	0.21199
186.04957	0.23843
196.04793	0.26174
206.04644	0.28269
216.04509	0.30095
226.04387	0.31517
236.04274	0.32601
246.04171	0.33451
256.04076	0.3412
266.03988	0.34535
276.03906	0.34836
286.0383	0.35029
296.03759	0.35175
306.03693	0.35276
316.03631	0.3535
326.03573	0.35454
336.03518	0.35545
346.03466	0.35634
356.03418	0.35713
366.03372	0.35749
376.03328	0.35705
386.03287	0.35525
396.03248	0.35239
406.0321	0.3481
416.03175	0.34219
426.03141	0.33497
436.03109	0.32716
446.03078	0.31938
456.03048	0.31294
466.0302	0.30867
476.02993	0.30841
486.02967	0.31329
496.02942	0.32363
506.02918	0.34107
516.02895	0.36363
526.02873	0.39147
536.02852	0.4241
546.02832	0.45997
556.02812	0.49819
566.02793	0.5383
576.02774	0.58008
586.02757	0.62301
596.02739	0.66541
606.02723	0.71055
616.02707	0.75741
626.02691	0.80725
636.02676	0.86004
646.02662	0.91573
656.02647	0.9736
666.02634	1.03204
676.0262	1.09089
686.02607	1.14737
696.02595	1.20096
706.02583	1.25077
716.02571	1.29566
726.02559	1.33616
736.02548	1.37404
746.02537	1.40777
756.02526	1.43908
766.02516	1.46738
776.02506	1.4939
786.02496	1.51816
796.02487	1.53911
806.02477	1.55601
816.02468	1.56751
826.02459	1.57367
836.02451	1.57318
846.02442	1.56483
856.02434	1.55114
866.02426	1.53154
876.02418	1.50929
886.0241	1.48753
896.02402	1.4686
906.02395	1.45399
916.02388	1.44609
926.02381	1.44387
936.02374	1.44716
946.02367	1.45569
956.0236	1.46732
966.02354	1.48181
976.02348	1.49689
986.02341	1.51157
996.02335	1.52497
1006.02329	1.53756
1016.02323	1.5498
1026.02318	1.5621
1036.02312	1.57778
1046.02306	1.5964
1056.02301	1.61968
1066.02296	1.64871
1076.0229	1.6828
1086.02285	1.7209
1096.0228	1.76182
1106.02275	1.80401
1116.02271	1.84432
1126.02266	1.88215
1136.02261	1.91596
1146.02256	1.94201
1156.02252	1.95982
1166.02247	1.96972
1176.02243	1.96987
1186.02239	1.96118
1196.02235	1.94828
1206.0223	1.93199
1216.02226	1.91518
1226.02222	1.89815
1236.02218	1.88244
1246.02214	1.86837
1256.02211	1.85516
1266.02207	1.84238
1276.02203	1.82827
1286.02199	1.81194
1296.02196	1.79085
1306.02192	1.76312
1316.02189	1.73097
1326.02185	1.69286
1336.02182	1.64928
1346.02179	1.60296
1356.02175	1.55651
1366.02172	1.51277
1376.02169	1.47399
1386.02166	1.44225
1396.02163	1.4175
1406.0216	1.39757
1416.02157	1.38129
1426.02154	1.36688
1436.02151	1.35342
1446.02148	1.34074
1456.02145	1.3272
1466.02142	1.31438
1476.02139	1.30284
1486.02137	1.29317
1496.02134	1.28735
1506.02131	1.28536
1516.02129	1.28798
1526.02126	1.29565
1536.02124	1.30704
1546.02121	1.32059
1556.02119	1.33545
1566.02116	1.34984
1576.02114	1.36186
1586.02111	1.37176
1596.02109	1.3797
1606.02107	1.38529
1616.02104	1.39272
1626.02102	1.40229
1636.021	1.41597
1646.02097	1.43476
1656.02095	1.45778
1666.02093	1.48569
1676.02091	1.51662
1686.02089	1.54883
1696.02087	1.58191
1706.02085	1.61438
1716.02083	1.64433
1726.02081	1.6694
1736.02079	1.6895
1746.02077	1.70404
1756.02075	1.71129
1766.02073	1.70955
1776.02071	1.70124
1786.02069	1.68284
1796.02067	1.65442
1806.02065	1.61417
1816.02063	1.56027
1826.02062	1.4949
1836.0206	1.41673
1846.02058	1.32667
1856.02056	1.22941
1866.02054	1.12899
1876.02053	1.03024
1886.02051	0.93933
1896.02049	0.85861
1906.02048	0.79473
1916.02046	0.74998
1926.02044	0.71305
1936.02043	0.67917
1946.02041	0.6448
1956.0204	0.59239
1966.02038	0.52063
1976.02037	0.4168
1986.02035	0.28202
1996.02034	0.12042
2006.02032	0.031
2016.02031	0
2026.02029	0
2036.02028	0
2046.02026	0
2056.02025	0
2066.02023	0
2076.02022	0
2086.02021	0
2096.02019	0
2106.02018	0
2116.02017	0.00021
2126.02015	0.00904
2136.02014	0.00886
2146.02013	0.00592
2156.02011	0.00001
2166.0201	0
2176.02009	0
2186.02007	0
2196.02006	0
2206.02005	0
2216.02004	0
2226.02003	0
2236.02001	0
2246.02	0
2256.01999	0
2266.01998	0
2276.01997	0
2286.01995	0
2296.01994	0
2306.01993	0
2316.01992	0
2326.01991	0
2336.0199	0
2346.01989	0
2356.01988	0
2366.01987	0
2376.01986	0
2386.01984	0
2396.01983	0
2406.01982	0
2416.01981	0
2426.0198	0
2436.01979	0
2446.01978	0
2456.01977	0
2466.01976	0
2476.01975	0
2486.01974	0
2496.01973	0
2506.01972	0
2516.01971	0
2526.01971	0
2536.0197	0
2546.01969	0
2556.01968	0
2566.01967	0
2576.01966	0
2586.01965	0
2596.01964	0
2606.01963	0
2616.01962	0
2626.01961	0
2636.01961	0
2646.0196	0
2656.01959	0
2666.01958	0
2676.01957	0
2686.01956	0
2696.01956	0
2706.01955	0
2716.01954	0
2726.01953	0
2736.01952	0
2746.01951	0
2756.01951	0
2766.0195	0
2776.01949	0
2786.01948	0
2796.01948	0
2806.01947	0
2816.01946	0
2826.01945	0
2836.01945	0
2846.01944	0
2856.01943	0
2866.01942	0
2876.01942	0
2886.01941	0
2896.0194	0
2906.01939	0
2916.01939	0
2926.01938	0
2936.01937	0
2946.01937	0
2956.01936	0
2966.01935	0
2976.01935	0
2986.01934	0
2996.01933	0
3006.01933	0
3016.01932	0
3026.01931	0
3036.01931	0
3046.0193	0
3056.01929	0
3066.01929	0
3076.01928	0
3086.01927	0
3096.01927	0
3106.01926	0
3116.01926	0
3126.01925	0
3136.01924	0
3146.01924	0
3156.01923	0
3166.01923	0
3176.01922	0
3186.01921	0
3196.01921	0
3206.0192	0
3216.0192	0
3226.01919	0
3236.01918	0
3246.01918	0
3256.01917	0
3266.01917	0
3276.01916	0
3286.01916	0
3296.01915	0
3306.01914	0
3316.01914	0
3326.01913	0
3336.01913	0
3346.01912	0
3356.01912	0
3366.01911	0
3376.01911	0
3386.0191	0
3396.0191	0
3406.01909	0
3416.01909	0
3426.01908	0
3436.01908	0
3446.01907	0
3456.01907	0
3466.01906	0
3476.01906	0
3486.01905	0
3496.01905	0
3506.01904	0
3516.01904	0
3526.01903	0
3536.01903	0
3546.01902	0
3556.01902	0
3566.01901	0
3576.01901	0
3586.019	0
3596.019	0
3606.01899	0
3616.01899	0
3626.01898	0
3636.01898	0
3646.01898	0
3656.01897	0
3666.01897	0
3676.01896	0
3686.01896	0
3696.01895	0
3706.01895	0
3716.01894	0
3726.01894	0
3736.01894	0
3746.01893	0
3756.01893	0
3766.01892	0
3776.01892	0
3786.01891	0
3796.01891	0
3806.01891	0
3816.0189	0
3826.0189	0
3836.01889	0
3846.01889	0
3856.01889	0
3866.01888	0
3876.01888	0
3886.01887	0
3896.01887	0
3906.01887	0
3916.01886	0
3926.01886	0
3936.01885	0
3946.01885	0
3956.01885	0
3966.01884	0
3976.01884	0
3986.01884	0
3996.01883	0
4006.01883	0
4016.01882	0
4026.01882	0
4036.01882	0
4046.01881	0
4056.01881	0
4066.01881	0
4076.0188	0
4086.0188	0
4096.0188	0
4106.01879	0
4116.01879	0
4126.01878	0
4136.01878	0
4146.01878	0
4156.01877	0
4166.01877	0
4176.01877	0
4186.01876	0
4196.01876	0
4206.01876	0
4216.01875	0
4226.01875	0
4236.01875	0
4246.01874	0
4256.01874	0
4266.01874	0
4276.01873	0
4286.01873	0
4296.01873	0
4306.01872	0
4316.01872	0
4326.01872	0
4336.01871	0
4346.01871	0
4356.01871	0
4366.0187	0
4376.0187	0
4386.0187	0
4396.0187	0
4406.01869	0
4416.01869	0
4426.01869	0
4436.01868	0
4446.01868	0
4456.01868	0
4466.01867	0
4476.01867	0
4486.01867	0
4496.01866	0
4506.01866	0
4516.01866	0
4526.01866	0
4536.01865	0
4543.39525	0
